"매체별",2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"N (명)",6708,6834,6029,6375,7234,7416,7385,7553,6042,6240
"10대_TV",1.6,0.1,0.6,5.0,7.6,11.6,6.2,19.4,14.7,14.8
"10대_스마트폰",94.5,96.9,96.2,87.0,82.5,78.8,88.7,67.9,69.0,61.8
"20대_TV",1.6,0.4,4.8,7.3,11.4,9.8,9.1,17.1,13.7,13.9
"20대_스마트폰",93.1,92.2,91.6,87.4,81.5,84.2,83.6,69.5,69.0,67.3
"30대_TV",5.7,9.2,8.0,12.7,16.6,14.1,17.6,25.2,24.4,25.3
"30대_스마트폰",90.4,85.1,86.2,80.8,76.0,79.5,75.4,63.0,59.1,51.3
"40대_TV",9.2,12.6,17.6,22.8,23.8,28.9,30.0,36.0,38.6,44.5
"40대_스마트폰",89.2,84.3,78.2,71.9,71.7,64.9,61.1,54.1,48.6,38.4
"50대_TV",31.8,29.1,37.6,39.4,50.2,52.1,52.0,57.0,69.3,73.7
"50대_스마트폰",65.8,70.4,60.3,57.1,46.3,43.3,43.6,34.7,23.9,13.4
"60대_TV",52.5,54.3,60.7,64.8,72.8,85.4,87.0,86.6,92.8,93.2
"60대_스마트폰",46.6,44.1,37.6,33.3,22.8,12.0,10.4,9.5,3.9,2.0
"70세이상_TV",84.7,83.9,89.3,91.9,90.7,-,-,-,-,-
"70세이상_스마트폰",14.4,15.0,9.2,6.1,6.2,-,-,-,-,-
