"구분별(1)",구분별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"구분별(1)",구분별(2),사례수 (명),뉴스/기사,TV/인터넷 등 광고,소셜 네트워크 서비스(SNS),OTT 플랫폼,음악 사이트/APP,웹툰/웹소설 사이트/APP,DVD CD 비디오 테이프,팬카페/커뮤니티,가족/지인 소개,P2P 사이트 등 비합법적 경로
"전체",소계,1144,15.6,35.8,38.3,41.3,14.5,12.0,4.8,7.7,25.4,1.3
"성별",남자,549,18.8,38.6,38.6,43.5,16.0,13.7,6.2,8.9,23.3,2.0
"성별",여자,595,12.8,33.3,38.0,39.3,13.1,10.4,3.5,6.6,27.4,0.7
"연령별",15-19세,170,15.9,39.4,47.6,34.7,15.3,15.9,1.2,10.6,26.5,0.6
"연령별",20-29세,334,10.5,35.6,43.7,37.4,18.3,12.9,6.9,8.7,20.7,1.5
"연령별",30-39세,346,15.9,37.3,36.7,42.5,14.7,12.4,5.2,4.6,26.9,0.6
"연령별",40-49세,231,20.3,35.5,30.3,48.1,11.3,9.5,4.3,10.0,27.7,2.6
"연령별",50-54세,63,23.8,20.6,22.2,49.2,3.2,3.2,3.2,3.2,31.7,1.6
"소비 타깃별",25-44세,626,15.2,36.1,39.5,42.8,15.3,12.1,5.6,7.5,24.1,1.3
"K컨텐츠 이용여부별",이용,1144,15.6,35.8,38.3,41.3,14.5,12.0,4.8,7.7,25.4,1.3
"K-OTT 이용의향별",긍정,539,19.9,43.8,42.5,44.0,21.9,17.4,5.9,12.4,28.2,1.3
"K-OTT 이용의향별",보통+부정,605,11.9,28.8,34.5,39.0,7.9,7.1,3.8,3.5,23.0,1.3
"인종별",백인,637,15.9,35.9,39.1,44.1,13.7,12.6,5.0,7.4,25.6,1.3
"인종별",흑인,100,11.0,30.0,34.0,36.0,11.0,11.0,5.0,3.0,19.0,2.0
"인종별",히스패닉,288,15.6,35.8,37.5,37.5,18.1,12.2,4.5,9.0,25.7,1.7
"인종별",아시안,80,23.8,40.0,45.0,41.3,11.3,10.0,2.5,7.5,30.0,0.0
"인종별",기타,39,7.7,41.0,28.2,38.5,17.9,7.7,7.7,15.4,28.2,0.0
